Date,MW
2012-03-01,85999.0
2012-04-01,54975.0
2012-05-01,33691.0
2012-06-01,27975.0
2012-07-01,24232.0
2012-08-01,23952.0
2012-09-01,16530.0
2012-10-01,24899.0
2012-11-01,27107.0
2012-12-01,44359.0
2013-01-01,73094.0
2013-02-01,49275.0
2013-03-01,36886.0
2013-04-01,32008.0
2013-05-01,29755.0
2013-06-01,38166.0
2013-07-01,26257.0
2013-08-01,17135.0
2013-09-01,14598.0
2013-10-01,14999.0
2013-11-01,23056.0
2013-12-01,27619.0
2014-01-01,46596.0
2014-02-01,56166.0
2014-03-01,48967.0
2014-04-01,51081.0
2014-05-01,29018.0
2014-06-01,38001.0
2014-07-01,30589.0
2014-08-01,18994.0
2014-09-01,16897.0
2014-10-01,23751.0
2014-11-01,22610.0
2014-12-01,39726.0
